gamePk,team_side,team_id,team_name,atBats,hits,doubles,triples,homeRuns,rbi,strikeOuts,baseOnBalls,avg,obp,slg,ops,stolenBases,caughtStealing,plateAppearances,leftOnBase
745815,away,146,Miami Marlins,32,6,2,0,0,4,13,2,.233,.285,.350,.635,1,0,36,11
745815,home,121,New York Mets,30,4,1,0,0,2,8,2,.240,.311,.386,.697,0,0,34,10
745899,away,115,Colorado Rockies,32,7,1,0,2,5,6,2,.245,.305,.378,.683,0,1,36,8
745899,home,142,Minnesota Twins,33,8,1,0,2,4,8,2,.231,.304,.394,.698,1,0,37,15
745170,away,134,Pittsburgh Pirates,28,3,1,1,0,2,7,3,.229,.300,.357,.657,0,0,33,14
745170,home,138,St. Louis Cardinals,34,8,1,0,1,1,10,1,.235,.306,.371,.677,0,0,36,15
746296,away,147,New York Yankees,38,10,0,1,3,10,8,3,.255,.334,.438,.772,0,0,42,12
746296,home,118,Kansas City Royals,32,5,1,1,1,1,4,5,.252,.314,.411,.725,1,0,38,19
745981,away,141,Toronto Blue Jays,35,9,2,0,0,3,7,3,.232,.309,.366,.675,0,0,39,21
745981,home,158,Milwaukee Brewers,32,5,1,0,0,0,11,5,.255,.330,.405,.735,3,0,37,24
747190,away,108,Los Angeles Angels,36,11,4,0,1,4,5,2,.237,.300,.387,.687,0,1,38,16
747190,home,109,Arizona Diamondbacks,37,15,4,2,1,8,6,6,.250,.321,.396,.717,1,0,45,25
745404,away,133,Oakland Athletics,33,9,1,0,2,3,8,3,.220,.291,.373,.664,0,1,37,19
745404,home,135,San Diego Padres,31,10,2,0,1,4,3,5,.263,.330,.403,.733,1,0,36,15
745244,away,145,Chicago White Sox,36,10,0,0,2,3,8,1,.219,.280,.347,.627,2,0,37,18
745244,home,136,Seattle Mariners,31,5,4,0,0,4,8,4,.223,.301,.368,.669,2,0,35,9
745327,away,117,Houston Astros,33,7,2,0,0,2,10,1,.259,.320,.417,.737,0,0,34,12
745327,home,137,San Francisco Giants,30,3,1,0,1,1,12,2,.243,.313,.379,.692,0,0,32,6
746139,away,140,Texas Rangers,31,5,0,0,1,2,5,2,.241,.310,.378,.688,0,0,34,7
746139,home,119,Los Angeles Dodgers,35,14,1,0,5,15,3,8,.258,.338,.441,.779,1,0,46,14
745896,away,115,Colorado Rockies,38,12,6,0,1,7,8,3,.246,.306,.381,.687,1,0,42,13
745896,home,142,Minnesota Twins,44,24,7,0,2,17,4,2,.237,.308,.403,.711,1,1,47,13
745978,away,141,Toronto Blue Jays,31,7,1,0,1,4,8,2,.232,.308,.366,.674,0,0,34,7
745978,home,158,Milwaukee Brewers,34,11,0,0,1,4,8,5,.256,.331,.405,.736,4,0,40,16
745328,away,117,Houston Astros,33,9,1,0,1,3,7,0,.259,.320,.417,.737,0,0,33,8
745328,home,137,San Francisco Giants,32,10,2,0,0,5,7,3,.244,.314,.379,.693,1,0,38,20
745405,away,133,Oakland Athletics,37,10,1,0,0,4,18,4,.221,.292,.372,.664,0,0,41,26
745405,home,135,San Diego Padres,32,6,0,0,4,5,10,2,.262,.328,.405,.733,0,0,34,7
747028,away,144,Atlanta Braves,35,7,0,0,1,2,8,0,.242,.308,.396,.704,1,0,36,16
747028,home,110,Baltimore Orioles,32,9,3,0,1,4,6,2,.249,.310,.451,.761,1,0,34,12
746462,away,120,Washington Nationals,38,13,3,0,1,6,5,5,.233,.305,.355,.660,2,2,44,24
746462,home,116,Detroit Tigers,39,12,1,0,2,4,9,1,.230,.297,.374,.671,0,0,40,15
745079,away,112,Chicago Cubs,36,9,0,0,2,4,8,2,.230,.311,.373,.684,6,0,40,10
745079,home,139,Tampa Bay Rays,34,7,2,0,2,3,9,3,.232,.305,.353,.658,2,0,38,16
746701,away,114,Cleveland Guardians,33,7,1,0,0,2,8,4,.240,.319,.399,.718,0,0,39,18
746701,home,113,Cincinnati Reds,30,6,0,0,2,4,13,2,.226,.307,.372,.679,0,0,32,9
746948,away,143,Philadelphia Phillies,35,9,4,1,0,6,8,7,.254,.330,.412,.742,0,0,43,19
746948,home,111,Boston Red Sox,31,13,2,1,1,7,6,6,.248,.317,.409,.726,0,0,40,20
745811,away,146,Miami Marlins,35,9,3,0,0,4,8,2,.234,.286,.350,.636,0,0,37,10
745811,home,121,New York Mets,40,14,2,0,3,9,5,2,.242,.313,.390,.703,0,0,42,19
745171,away,134,Pittsburgh Pirates,33,6,3,0,1,2,12,1,.229,.299,.357,.656,1,0,34,13
745171,home,138,St. Louis Cardinals,34,11,1,0,0,4,13,1,.236,.307,.371,.678,2,0,35,15
746294,away,147,New York Yankees,36,11,0,0,3,11,5,4,.256,.334,.440,.774,1,0,42,16
746294,home,118,Kansas City Royals,35,11,1,0,0,4,5,6,.253,.315,.410,.725,0,0,42,18
747193,away,108,Los Angeles Angels,40,14,4,0,2,8,8,5,.239,.303,.391,.694,0,1,45,18
747193,home,109,Arizona Diamondbacks,29,6,0,0,2,3,6,2,.249,.320,.396,.716,0,0,31,7
745246,away,145,Chicago White Sox,32,3,1,0,1,1,13,3,.217,.279,.345,.624,0,1,35,13
745246,home,136,Seattle Mariners,31,6,1,0,1,2,9,3,.222,.300,.367,.667,0,1,35,9
746137,away,140,Texas Rangers,35,8,1,0,1,3,3,2,.241,.310,.377,.687,1,1,37,13
746137,home,119,Los Angeles Dodgers,31,7,1,0,1,2,9,4,.258,.338,.440,.778,0,1,35,15
747026,away,144,Atlanta Braves,41,12,5,0,0,5,10,1,.243,.309,.397,.706,0,0,43,27
747026,home,110,Baltimore Orioles,33,6,1,0,1,3,9,2,.248,.309,.449,.758,1,0,36,14
746465,away,120,Washington Nationals,29,5,2,0,0,2,8,2,.232,.304,.354,.658,0,1,33,7
746465,home,116,Detroit Tigers,31,10,2,0,1,7,6,3,.231,.298,.375,.673,1,0,37,13
746299,away,147,New York Yankees,31,5,1,0,1,3,8,2,.254,.333,.438,.771,0,0,33,7
746299,home,118,Kansas City Royals,33,9,3,0,0,4,3,4,.253,.316,.410,.726,0,1,37,15
